event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,azimuthal_gap,takeoff_gap,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
2148509,121.3,44.8,99.3,A,15.2,16.6,60,0,23.3,15.1,11.9,100.0,64.5,0.0,False,1994-02-15 01:59:47,2.5,34.241667,-118.619,18.19,0.01,0.06
2155068,149.8,47.3,132.0,A,20.7,19.0,34,0,53.0,15.4,0.0,98.8,70.8,0.0,False,1994-03-22 13:07:33,2.3,34.239333,-118.615667,18.17,0.04,0.04
3143312,137.4,49.0,141.1,A,13.5,19.3,30,0,83.5,17.3,6.3,100.0,67.0,0.0,False,1994-01-21 11:04:15,2.3,34.2425,-118.617667,18.13,0.07,0.1
3145744,144.5,53.7,112.3,A,20.5,26.6,33,0,44.7,15.3,5.1,88.4,69.1,0.0,False,1994-01-25 10:05:22,2.4,34.241167,-118.621167,18.54,0.03,0.09
3146815,140.5,42.1,132.1,A,14.3,12.7,73,0,32.6,10.6,6.9,100.0,59.7,0.0,False,1994-01-28 07:44:46,3.4,34.239167,-118.6215,18.96,0.09,0.18
3146907,109.6,49.9,79.5,A,24.4,23.2,23,0,66.8,20.0,1.7,88.4,68.4,0.0,False,1994-01-28 15:47:20,2.0,34.238167,-118.6105,17.79,0.06,0.09
3147167,289.1,42.8,66.8,A,15.5,13.2,55,0,35.4,16.1,2.9,100.0,63.4,0.0,False,1994-01-29 07:52:21,2.6,34.238333,-118.624667,19.2,0.09,0.12
3148018,154.0,46.0,119.3,A,18.2,22.3,46,0,40.6,15.2,11.5,96.8,68.4,0.0,False,1994-01-31 04:53:39,2.1,34.238167,-118.610667,17.44,0.09,0.13
3148047,288.8,47.6,60.0,A,15.0,14.9,39,0,35.6,14.8,3.3,100.0,65.0,0.0,False,1994-01-31 07:13:16,2.2,34.241833,-118.6155,17.92,0.05,0.1
3149674,140.4,44.8,109.1,B,14.7,19.1,50,0,46.6,14.8,8.9,61.6,66.2,0.0,True,1994-02-05 07:11:45,2.4,34.240167,-118.616667,18.2,0.04,0.06
3149674,120.2,39.6,115.4,D,16.1,22.0,50,0,46.6,14.8,8.2,38.4,66.2,0.0,True,1994-02-05 07:11:45,2.4,34.240167,-118.616667,18.2,0.04,0.06
3150301,106.8,39.7,89.7,A,19.0,21.6,32,0,56.1,16.2,12.8,93.8,66.4,0.0,False,1994-02-07 05:23:49,1.8,34.237333,-118.613,17.7,0.06,0.11
3150490,305.4,44.7,108.7,A,17.8,16.8,57,0,25.3,17.1,5.8,97.7,66.4,0.0,False,1994-02-08 02:07:08,2.6,34.238167,-118.606333,17.75,0.07,0.16
3150936,142.2,52.0,129.6,A,13.9,16.4,57,0,42.8,15.0,8.0,99.3,66.7,0.0,False,1994-02-10 04:19:26,2.5,34.242167,-118.620167,18.31,0.05,0.06
3150947,142.2,45.8,129.3,A,11.4,10.7,49,0,35.2,15.2,7.8,100.0,66.7,0.0,False,1994-02-10 04:46:40,2.3,34.241167,-118.620167,18.45,0.05,0.1
3151649,129.7,43.4,112.4,A,18.7,19.5,33,0,42.0,16.0,0.8,99.8,68.6,0.0,False,1994-02-13 09:04:56,2.1,34.237833,-118.612833,17.74,0.03,0.03
3152142,129.3,42.8,114.4,A,16.0,16.1,48,0,41.3,15.2,4.5,99.5,68.6,0.0,False,1994-02-14 13:19:47,2.3,34.241667,-118.617167,17.96,0.07,0.13
3152388,145.9,45.7,126.4,B,25.2,26.5,34,0,49.2,16.0,3.8,83.2,71.5,0.0,False,1994-02-15 04:10:52,2.0,34.239833,-118.621333,18.39,0.07,0.06
3152559,142.4,41.9,117.7,A,17.5,21.1,42,0,37.0,15.5,3.1,97.0,66.5,0.0,False,1994-02-15 21:13:54,2.3,34.239667,-118.615833,17.91,0.03,0.13
3153955,318.5,40.2,120.2,A,20.9,18.1,32,0,36.8,17.7,5.2,97.6,75.7,0.0,False,1994-02-20 19:35:21,1.9,34.237833,-118.611833,17.83,0.06,0.07
3158361,137.1,46.2,116.8,A,18.7,20.5,46,0,42.7,15.6,2.6,98.0,69.3,0.0,False,1994-03-14 10:02:19,2.2,34.239333,-118.618333,18.35,0.06,0.03
3159027,126.0,49.5,105.7,A,20.8,23.4,39,0,83.1,15.2,0.0,95.2,72.5,0.0,False,1994-03-18 08:27:27,2.2,34.2405,-118.617667,18.28,0.03,0.04
3159267,132.6,52.3,112.0,A,18.5,18.7,44,0,52.1,15.4,0.8,98.2,67.9,0.0,False,1994-03-20 00:11:12,2.5,34.241167,-118.615833,18.0,0.05,0.07
3160206,144.6,44.6,127.9,A,20.0,18.2,31,0,72.4,15.6,8.9,98.4,71.4,0.0,False,1994-03-24 11:23:51,1.7,34.240167,-118.618333,18.04,0.05,0.05
3177685,133.9,43.5,116.9,A,13.2,13.6,51,0,23.4,16.2,5.2,100.0,62.1,0.0,False,1994-07-26 02:58:20,2.6,34.239,-118.6115,17.78,0.05,0.14
