event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,azimuthal_gap,takeoff_gap,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
2148509,285.4,50.2,85.3,A,14.5,18.9,43,0,21.0,15.0,9.5,99.3,60.0,0.0,False,1994-02-15 01:59:47,2.5,34.241667,-118.619,18.19,0.01,0.06
2155068,157.7,49.7,138.3,A,23.4,22.8,28,0,49.0,20.0,0.0,89.0,73.3,0.0,False,1994-03-22 13:07:33,2.3,34.239333,-118.615667,18.17,0.04,0.04
3143312,134.8,47.4,142.4,A,18.0,21.0,26,0,82.0,13.0,6.6,96.0,70.5,0.0,False,1994-01-21 11:04:15,2.3,34.2425,-118.617667,18.13,0.07,0.1
3145744,154.8,46.3,133.9,B,26.1,37.3,27,0,35.0,28.0,7.0,65.7,66.9,0.0,False,1994-01-25 10:05:22,2.4,34.241167,-118.621167,18.54,0.03,0.09
3146815,144.9,37.6,140.7,A,13.5,12.7,43,0,41.0,22.0,9.3,100.0,59.4,0.0,False,1994-01-28 07:44:46,3.4,34.239167,-118.6215,18.96,0.09,0.18
3146907,301.9,54.3,100.4,B,31.0,31.1,19,0,81.0,35.0,0.0,68.0,61.5,0.0,True,1994-01-28 15:47:20,2.0,34.238167,-118.6105,17.79,0.06,0.09
3146907,162.5,60.3,165.3,D,41.1,40.8,19,0,81.0,35.0,10.1,29.7,64.3,0.0,True,1994-01-28 15:47:20,2.0,34.238167,-118.6105,17.79,0.06,0.09
3147167,143.3,43.4,118.5,A,11.4,14.5,47,0,23.0,29.0,0.8,100.0,61.0,0.0,False,1994-01-29 07:52:21,2.6,34.238333,-118.624667,19.2,0.09,0.12
3148018,156.3,35.1,125.5,A,16.2,22.3,36,0,39.0,32.0,5.6,96.7,65.5,0.0,False,1994-01-31 04:53:39,2.1,34.238167,-118.610667,17.44,0.09,0.13
3148047,159.2,44.5,137.2,A,18.5,18.8,33,0,43.0,31.0,1.9,98.7,64.6,0.0,False,1994-01-31 07:13:16,2.2,34.241833,-118.6155,17.92,0.05,0.1
3149674,141.5,41.8,114.6,A,14.5,17.8,41,0,47.0,15.0,5.7,99.7,65.6,0.0,False,1994-02-05 07:11:45,2.4,34.240167,-118.616667,18.2,0.04,0.06
3150301,294.4,58.0,92.8,A,23.3,19.0,28,0,83.0,30.0,10.6,92.0,64.8,0.0,False,1994-02-07 05:23:49,1.8,34.237333,-118.613,17.7,0.06,0.11
3150490,301.8,46.6,108.9,A,17.4,14.2,40,0,41.0,14.0,3.3,99.7,63.9,0.0,False,1994-02-08 02:07:08,2.6,34.238167,-118.606333,17.75,0.07,0.16
3150936,277.2,54.8,66.1,A,15.3,16.9,38,0,42.0,17.0,3.7,99.7,67.0,0.0,False,1994-02-10 04:19:26,2.5,34.242167,-118.620167,18.31,0.05,0.06
3150947,155.9,46.7,137.4,A,16.8,15.7,39,0,40.0,18.0,4.4,100.0,68.2,0.0,False,1994-02-10 04:46:40,2.3,34.241167,-118.620167,18.45,0.05,0.1
3151649,125.1,35.3,106.2,A,22.9,24.8,26,0,35.0,16.0,0.0,87.0,69.1,0.0,False,1994-02-13 09:04:56,2.1,34.237833,-118.612833,17.74,0.03,0.03
3152142,144.3,35.2,128.5,A,19.9,20.1,39,0,49.0,16.0,1.6,97.0,69.9,0.0,False,1994-02-14 13:19:47,2.3,34.241667,-118.617167,17.96,0.07,0.13
3152388,160.6,50.9,144.2,B,28.0,27.7,26,0,79.0,28.0,5.6,79.0,72.2,0.0,False,1994-02-15 04:10:52,2.0,34.239833,-118.621333,18.39,0.07,0.06
3152559,156.2,41.4,129.7,A,16.9,18.7,32,0,42.0,15.0,1.2,99.0,66.9,0.0,False,1994-02-15 21:13:54,2.3,34.239667,-118.615833,17.91,0.03,0.13
3153955,314.7,49.3,117.2,A,25.3,23.4,27,0,41.0,16.0,0.0,89.7,70.5,0.0,False,1994-02-20 19:35:21,1.9,34.237833,-118.611833,17.83,0.06,0.07
3158361,144.8,43.2,124.7,A,17.7,16.1,34,0,77.0,21.0,2.1,100.0,68.2,0.0,False,1994-03-14 10:02:19,2.2,34.239333,-118.618333,18.35,0.06,0.03
3159267,137.8,50.1,117.9,A,17.4,16.2,35,0,47.0,20.0,0.0,99.0,67.2,0.0,False,1994-03-20 00:11:12,2.5,34.241167,-118.615833,18.0,0.05,0.07
3177685,140.8,48.9,125.1,A,18.6,19.3,31,0,42.0,30.0,1.1,97.0,66.9,0.0,False,1994-07-26 02:58:20,2.6,34.239,-118.6115,17.78,0.05,0.14
