network,station,channel,latitude,longitude,elevation
PB,B075,EHZ,35.929199,-120.515297,583.0
PB,B076,EHZ,35.9398,-120.424797,445.0
PB,B078,EHZ,35.8377,-120.3452,386.8
PB,B079,EHZ,35.715698,-120.205704,436.6
PB,B900,EHZ,35.686,-120.003,219.5
PB,B934,EH1,39.844501,-123.691399,331.0
NC,BAP,EHZ,36.18042,-121.644402,1193.0
NC,BAV,EHZ,36.645954,-121.030151,572.0
NC,BBGB,HHZ,36.578484,-121.039566,1089.0
NC,BBN,EHZ,36.509998,-121.0755,412.0
NC,BCG,EHZ,36.709618,-121.342842,250.0
NC,BCW,EHZ,36.306477,-121.566879,1505.0
BK,BDM,HHZ,37.953972,-121.86554,219.8
NN,BEK,HHZ,39.8666,-120.3596,1743.0
NC,BHR,EHZ,36.72747,-121.266541,175.0
NC,BJC,EHZ,36.547001,-121.392166,173.0
NC,BJOB,EHZ,36.610867,-121.314667,1052.0
BK,BKS,HHZ,37.876221,-122.23558,243.9
PG,BL,EHZ,35.533833,-120.90667,457.0
BK,BL67,HHZ,37.87492,-122.243179,736.2
BK,BL88,HNZ,37.877151,-122.254288,602.2
PG,BLD,EHZ,35.533833,-120.90667,457.0
NC,BLR,EHZ,36.667,-121.273315,189.0
NC,BMS,EHZ,36.663078,-120.792923,780.0
PG,BP,EHZ,35.753666,-121.143166,792.0
NC,BPI,EHZ,36.490063,-121.169579,301.0
BK,BRK,HHZ,37.87352,-122.260986,49.4
BG,BRP,DPZ,38.854858,-122.797142,905.0
NC,BRV,EHZ,36.424683,-121.018967,525.0
NC,BSL,EHZ,36.776535,-121.35009,142.0
NC,BSM,EHZ,36.383835,-121.42717,884.0
BG,BUC,DPZ,38.823116,-122.83503,888.0
NC,BVL,EHZ,36.574894,-121.190086,479.0
NC,BVY,EHZ,36.746239,-121.415764,647.0
NC,C001,HNZ,37.5215,-121.933762,96.0
NC,C002,HNN,37.558453,-122.034508,7.0
NC,C002,HNZ,37.558453,-122.034508,7.0
NC,C003,HNZ,37.707207,-122.083969,74.0
NC,C004,HNZ,37.844063,-122.217949,189.0
NC,C005,HNZ,37.810753,-122.236076,187.0
NC,C006,HNN,37.591782,-122.058243,6.0
NC,C006,HNZ,37.591782,-122.058243,6.0
NC,C007,HNZ,37.895573,-122.262802,255.0
NC,C008,HNZ,37.895649,-122.293594,4.0
NC,C010,HNZ,37.944004,-122.009933,51.0
NC,C011,HNZ,37.906418,-122.292381,30.0
NC,C013,HNZ,37.82383,-122.188614,403.0
NC,C015,HNN,37.559444,-121.993729,23.0
NC,C015,HNZ,37.559444,-121.993729,23.0
NC,C017,HNZ,37.506489,-121.926201,34.0
NC,C020,HNZ,37.800846,-122.20752,74.0
NC,C021,HNZ,37.695004,-122.063759,68.0
NC,C024,HNZ,37.94334,-122.335838,25.0
NC,C026,HNZ,37.870518,-122.051353,89.0
NC,C027,HNZ,37.79351,-121.979668,135.0
NC,C028,HNZ,37.850948,-122.24588,104.0
NC,C029,HNZ,37.788818,-121.971252,129.0
NC,C031,HNZ,37.86322,-122.276932,29.0
NC,C032,HNZ,38.082508,-122.157593,76.0
NC,C033,HNZ,37.846699,-122.289543,2.0
NC,C039,HNE,37.467072,-121.911598,27.0
NC,C039,HNZ,37.467072,-121.911598,27.0
NC,C041,HNZ,37.375698,-121.826088,54.0
NC,C044,HNZ,37.730778,-122.231194,-5.0
NC,C045,HNN,37.749619,-121.96196,138.0
NC,C045,HNZ,37.749619,-121.96196,138.0
NC,C047,HNZ,37.829147,-122.020287,116.0
NC,C048,HNE,37.575089,-121.991661,15.0
NC,C048,HNZ,37.575089,-121.991661,15.0
NC,C049,HNZ,37.7766,-122.278458,9.0
NC,C051,HNZ,37.746651,-122.238609,4.0
NC,C053,HNN,37.68539,-121.873352,106.0
NC,C053,HNZ,37.68539,-121.873352,106.0
NC,C054,HNZ,37.271191,-121.824417,57.0
NC,C055,HNZ,37.657448,-122.110352,11.0
NC,C056,HNZ,37.636311,-122.126358,-15.0
NC,C057,HNZ,37.95554,-121.697876,24.0
NC,C058,HNZ,37.75642,-122.225761,8.0
NC,C059,HNZ,37.342571,-121.772369,244.0
NC,C061,HNZ,37.777912,-122.209702,18.0
NC,C062,HNE,37.66753,-121.903427,86.0
NC,C062,HNZ,37.66753,-121.903427,86.0
NC,C064,HNZ,37.805119,-122.18457,250.0
NC,C067,HNZ,37.976093,-122.289551,113.0
NC,C069,HNZ,37.647751,-121.896057,83.0
NC,C071,HNZ,37.682144,-122.133217,1.0
NC,C072,HNZ,37.285805,-121.75589,160.0
NC,C073,HNE,37.655788,-122.05423,190.0
NC,C073,HNZ,37.655788,-122.05423,190.0
NC,CADB,EHZ,37.16346,-121.62645,190.0
NC,CAG,EHZ,37.857269,-122.422661,60.0
NC,CAL,EHZ,37.450348,-121.800369,251.0
NC,CAL,HNE,37.450348,-121.800369,251.0
NC,CAO,EHZ,37.34848,-121.534668,622.0
NC,CBP,EHZ,37.747665,-121.708427,167.0
NC,CBR,EHZ,37.816471,-122.063019,580.0
NC,CBS,EHZ,37.817783,-121.641296,28.0
NC,CCH1,EP1,37.743317,-122.096573,107.0
NC,CCH1,EP3,37.743317,-122.096573,107.0
NC,CCOB,EHZ,37.258984,-121.673119,371.0
BP,CCRB,DP1,35.957161,-120.551613,344.0
NC,CDOB,EHZ,37.729401,-121.833458,139.0
NC,CGP1,EP1,37.645447,-122.011276,219.0
NC,CGP1,EP2,37.645447,-122.011276,219.0
NC,CHR,EHZ,37.372883,-121.768867,489.0
WR,CKR,HNZ,38.314411,-121.492035,3.0
NC,CLCB,EHZ,37.737865,-122.064865,309.0
BG,CLV,DPZ,38.838409,-122.790344,989.0
BK,CMAB,CN1,38.06892,-122.229141,-142.2
BK,CMB,HHZ,38.03455,-120.386513,697.0
NC,CMC,EHZ,37.781216,-122.176804,52.0
NC,CML,EHZ,37.47752,-121.652939,1055.0
NC,CMLP,EHZ,37.449055,-121.834084,360.0
NC,CMLP,HNN,37.449055,-121.834084,360.0
NC,CMM,EHZ,37.455669,-121.494667,1117.0
NC,CMOB,EHZ,37.810417,-121.802719,743.0
NC,CMP,EHZ,37.357716,-121.318253,760.0
NC,CMW,EHZ,37.540531,-121.887344,369.0
NC,CMW1,HN1,37.540257,-121.887581,214.0
NC,CNI,EHE,37.607948,-121.964561,393.0
NC,CNI,EHZ,37.607948,-121.964561,393.0
NC,COS,EHZ,37.50803,-121.375061,972.0
NC,CPI,EHZ,37.988903,-122.215607,203.0
NC,CRH,EHZ,37.858841,-121.992638,259.0
PG,CSD,EHZ,35.600498,-121.094002,30.0
NC,CSPB,EHZ,37.957161,-122.311302,208.0
NC,CTA,EHZ,38.026909,-122.015991,152.0
NC,CUSLD,HN3,37.76421,-122.094193,129.0
NC,CUSLD,HNZ,37.76421,-122.094193,129.0
NC,CVL,EHZ,37.623592,-121.836411,313.0
NC,CVL,HNN,37.623592,-121.836411,313.0
NC,CVP,EHZ,37.884003,-122.223228,527.0
BK,CVS,HHZ,38.345261,-122.458397,295.1
NC,CYB,EHZ,37.807873,-122.361801,-6.0
NC,CYD,HNZ,37.562767,-122.09655,9.0
NC,CYD1,EP1,37.562893,-122.096695,-128.0
NC,CYD1,EP2,37.562893,-122.096695,-128.0
PG,DCD,EHZ,35.212166,-120.840836,238.0
BG,DEB,DP1,38.763947,-122.680702,533.0
BG,DES,DPZ,38.768177,-122.69928,650.0
NP,DIX,HHZ,38.37706,-121.842377,16.0
NN,DON,EHZ,39.3517,-120.320503,2268.0
PG,DPD,EHZ,35.233002,-120.78167,488.0
BG,DRK,DPZ,38.788326,-122.80307,757.0
BP,EADB,DP1,35.895222,-120.422623,224.0
PG,EC,EHZ,35.333332,-120.71817,259.0
PG,EFD,EHZ,35.320499,-120.724998,95.0
NP,ELK,HHZ,38.373493,-121.362129,14.0
BG,EPR,DPZ,38.747108,-122.693359,890.0
BK,FARB,HHZ,37.697819,-123.001099,-18.5
BG,FNF,DPZ,38.770721,-122.765747,870.0
WR,FRI,EHZ,36.992001,-119.708,119.0
BG,FUM,DPZ,38.793179,-122.787918,673.0
NC,GAC,EHZ,38.872742,-122.862915,968.0
BK,GASB,HHZ,39.654709,-122.71595,1354.8
NC,GAXB,EHZ,38.710732,-122.757332,386.0
NC,GBG,EHZ,38.814358,-122.682625,1103.0
NC,GBM,EHZ,39.140854,-122.497391,1010.0
NC,GCK,EHZ,39.543755,-122.436684,251.0
NC,GCR,EHZ,38.773834,-122.716499,693.0
NC,GCVB,EHZ,38.769268,-123.01487,151.0
NC,GDC,EHZ,38.76778,-123.239555,736.0
NC,GDXB,HHZ,38.807968,-122.795303,939.0
NC,GFC,EHZ,39.326553,-122.288864,64.0
NC,GGU,EHZ,38.856392,-123.498169,645.0
BP,GHIB,DP1,35.832249,-120.347282,330.0
NC,GHL,EHZ,39.040627,-123.01944,943.0
NC,GHM,EHZ,39.495453,-122.930962,1456.0
NC,GHO,EHZ,39.04446,-123.541092,671.0
NC,GNA,EHZ,39.197502,-123.632027,318.0
NC,GPM,EHZ,38.846535,-122.947098,736.0
NC,GRO,EHZ,39.916843,-122.671165,1261.0
NC,GSG,EHZ,38.866337,-122.710884,1057.0
NC,GSN,EHZ,38.940395,-123.192451,849.0
NC,GSS,EHZ,38.702053,-123.014282,274.0
NC,GTC,EHZ,39.399441,-123.555321,369.0
NC,GTS,EHZ,39.311611,-122.603378,1069.0
NC,GVV,EHZ,39.775097,-122.675514,1457.0
NC,GWR,EHZ,39.205704,-123.301003,654.0
NN,GZY,EHZ,39.961899,-120.651299,1935.0
NC,H001,HNZ,36.922497,-121.740196,5.0
NC,H002,HNZ,36.87709,-121.647385,151.0
BK,HAST,HHZ,36.388699,-121.551399,539.5
NC,HAZ,EHZ,36.884457,-121.591965,98.0
NC,HBT,EHZ,36.850178,-121.55191,68.0
BG,HBW,DPZ,38.858528,-122.875687,985.0
NC,HCR,EHZ,36.956635,-121.583626,204.0
BK,HELL,HHZ,36.680111,-119.02282,1137.5
BG,HER,DPN,38.844761,-122.913803,668.0
BK,HERB,CN1,38.01239,-122.262169,-235.0
NC,HGS,EHZ,37.09618,-121.447945,778.0
NC,HJG,EHZ,36.79834,-121.574692,121.0
NC,HJS,EHZ,36.817066,-121.298546,162.0
NC,HLP,EHZ,37.04134,-121.631897,102.0
NC,HLT,EHZ,36.884617,-121.309326,180.0
NC,HMOB,EHZ,36.599346,-121.918144,200.0
BK,HOPS,HHZ,38.993488,-123.072342,299.1
NC,HOR,EHZ,36.918926,-121.515022,39.0
NC,HSF,EHZ,36.816334,-121.498001,213.0
NC,HSL,EHZ,37.019089,-121.086082,488.0
NC,HSP,EHZ,37.115009,-121.517075,826.0
NC,HTU,EHZ,36.826817,-121.643486,175.0
WR,HUF,EHZ,40.044498,-120.885597,2193.0
BG,HVC,DPZ,38.842602,-122.776398,779.0
NN,IND,EHZ,39.4342,-120.292702,2146.0
NC,J001,HNZ,37.592735,-122.392273,24.0
NC,J004,HNZ,37.317459,-122.036446,80.0
NC,J005,HNZ,37.296062,-121.960457,57.0
NC,J006,HNZ,37.356853,-122.101967,76.0
NC,J007,HNZ,37.492363,-122.244667,6.0
NC,J008,HNZ,37.475922,-122.188164,15.0
NC,J009,HNZ,37.519733,-122.511726,16.0
NC,J011,HNZ,37.369469,-122.213707,206.0
NC,J012,HNZ,37.405994,-122.106934,28.0
NC,J015,HNZ,37.331871,-121.876114,32.0
NC,J016,HNZ,37.457443,-122.251671,89.0
NC,J017,HNZ,37.461205,-122.228989,16.0
NC,J018,HNZ,37.319592,-122.073547,130.0
NC,J019,HNZ,37.434326,-122.198349,28.0
NC,J020,HNZ,37.766033,-122.441139,106.0
NC,J022,HNZ,37.629978,-122.44516,146.0
NC,J023,HNZ,37.525528,-122.346939,137.0
NC,J025,HNN,37.394753,-122.072548,24.0
NC,J025,HNZ,37.394753,-122.072548,24.0
NC,J026,HNZ,37.34935,-122.023911,50.0
NC,J027,HNZ,37.347603,-122.084167,50.0
NC,J029,HNZ,37.634148,-122.493813,8.0
NC,J030,HNZ,37.3862,-122.121048,50.0
NC,J032,HNZ,37.631451,-122.414993,4.0
NC,J033,HNZ,37.452854,-122.195824,19.0
NC,J034,HNZ,37.370224,-122.113449,70.0
NC,J035,HNZ,37.557804,-122.378021,196.0
NC,J036,HNZ,37.528355,-122.297813,49.0
NC,J037,HNZ,37.536282,-122.237541,-7.0
NC,J039,HNZ,37.621201,-122.45285,229.0
NC,J040,HNZ,37.804688,-122.434738,4.0
NC,J041,HNZ,37.800491,-122.441444,7.0
NC,J042,HNZ,37.806194,-122.436043,-5.0
NC,J043,HNZ,37.560108,-122.295486,-1.0
NC,J045,HNZ,37.523643,-122.301033,116.0
NC,J048,HNZ,37.193752,-122.018761,420.0
NC,J049,HNZ,37.588139,-122.458687,126.0
NC,J050,HNZ,37.61113,-122.477852,45.0
NC,J051,HNZ,37.312901,-122.007835,63.0
NC,J052,HNZ,37.299629,-122.24456,250.0
NC,J054,HNZ,37.246849,-121.824806,55.0
NC,J055,HNZ,37.39999,-121.922073,17.0
NC,J056,HNZ,37.778343,-122.442886,68.0
NC,J057,HNZ,37.78796,-122.463875,52.0
NC,J059,HNZ,37.489326,-122.452751,8.0
NC,J060,HNZ,37.712742,-122.405266,2.0
NC,J061,HNZ,37.730572,-122.497421,22.0
NC,J063,HNZ,37.017448,-122.127068,226.0
NC,J064,HNZ,37.420303,-122.323967,659.0
NC,J066,HNZ,37.101082,-121.876762,749.0
NC,J068,HNZ,37.351501,-121.925262,55.0
NC,JBMB,EHZ,37.318607,-122.153145,786.0
NC,JBNB,EHZ,37.120449,-122.155197,786.0
NC,JBR,EHZ,37.172169,-122.011208,441.0
BP,JCNB,DP1,35.938969,-120.431122,309.0
NC,JCP,EHZ,37.58831,-122.323387,-19.0
BP,JCSB,DP1,35.921169,-120.433998,299.0
NC,JELB,EHZ,36.927448,-121.827637,81.0
NC,JFP,EHZ,37.360447,-122.189857,291.0
NC,JGR,EHZ,37.516041,-122.458153,282.0
NC,JHL,EHZ,37.109085,-121.834541,841.0
NC,JHP,EHZ,37.444084,-122.304001,341.0
NC,JHU,EHZ,37.214272,-122.171677,234.0
NC,JJO,EHZ,37.20631,-121.977257,343.0
BG,JKB,DP1,38.800629,-122.75972,1030.0
NC,JLAB,EHZ,37.15432,-121.734673,318.0
NC,JMGB,EHZ,37.637192,-122.474823,170.0
NC,JPR,EHZ,37.795269,-122.474953,94.0
NC,JRG,EHZ,37.037785,-121.965691,207.0
BK,JRSC,HHZ,37.403728,-122.238678,70.5
NC,JSA,EHZ,37.582249,-122.420059,221.0
NC,JSB,EHZ,37.674332,-122.398552,180.0
NC,JSCB,EHZ,37.284153,-122.123688,352.0
NC,JSFB,EHZ,37.403721,-122.175957,118.0
NC,JSJ,EHZ,37.333778,-122.092316,92.0
NC,JSP,EHZ,37.586441,-122.502167,30.0
NC,JUM,EHZ,37.160671,-121.898994,1027.0
NN,KBF,EHZ,39.506699,-120.213898,2111.0
NC,KBN,EHZ,39.892372,-123.19503,1329.0
NC,KBS,EHZ,39.917465,-123.595596,1120.0
NC,KCPB,HHZ,39.68631,-123.58242,1261.0
NC,KFP,EHZ,39.638885,-123.42514,768.0
NC,KIP,EHZ,39.808407,-123.4813,1341.0
WR,KPK,EHZ,39.583328,-121.306328,897.0
BP,LCCB,DP1,35.980061,-120.514229,385.0
BG,LCK,DPZ,38.819542,-122.741737,1166.0
NC,LCM,EHZ,40.146584,-121.52253,1806.0
PG,LMD,EHZ,35.380329,-120.824669,171.0
NN,LOY,EHZ,39.6586,-120.236801,1582.0
NC,LPG,EHZ,40.145138,-122.687881,574.0
NC,LRB,EHZ,40.143227,-122.557716,308.0
PG,LSD,EHZ,35.297333,-120.843002,244.0
NC,LTC,EHZ,40.208504,-122.125481,233.0
NN,LVO,EHZ,39.871601,-120.872902,1372.0
NC,LVR,EHZ,40.039371,-122.672501,943.0
NC,MBS1,EP1,37.761024,-118.944542,2025.0
NC,MBU,EHZ,37.559734,-120.075615,1248.0
NC,MCB,HHZ,37.644394,-118.896835,2391.0
BK,MCCM,HHZ,38.144779,-122.88018,-7.7
NP,MCD,HHZ,37.98019,-121.473457,15.0
BG,MCL,DPZ,38.85466,-122.823349,961.0
NC,MCO,EHZ,37.618992,-118.862953,2186.0
NC,MCS,EHZ,37.654873,-118.905762,2417.0
NC,MCUB,EHZ,37.975384,-120.620247,408.0
NC,MCV,EHZ,37.590027,-118.829109,2542.0
NC,MCY,EHZ,37.642929,-119.029137,2943.0
NC,MDC,EHZ,37.70969,-119.041832,2493.0
NC,MDH1,DP1,37.679752,-118.908821,-243.0
NC,MDP1,EP1,37.632462,-119.07972,2153.0
NC,MDPB,HHZ,37.632267,-119.079353,2360.0
NC,MDY,HHZ,37.658039,-119.012154,2789.0
NC,MGPB,EHZ,37.62608,-118.902885,2190.0
BK,MHC,HHZ,37.34164,-121.64257,1250.4
BK,MHDL,EP1,37.842319,-122.494308,-57.4
NC,MINS,HHZ,37.65377,-119.060928,2796.0
PG,ML,EHZ,35.322498,-120.602501,762.0
CI,MLAC,HHZ,37.63019,-118.83605,2162.0
NC,MLC,EHZ,37.61211,-118.915283,2471.0
PG,MLD,EHZ,35.322498,-120.602501,762.0
NC,MLI,HHZ,37.636761,-119.017906,3075.0
NC,MMLB,HHZ,37.659092,-118.979065,2656.0
BP,MMNB,DP1,35.956501,-120.496002,480.0
NC,MMP,EHZ,37.609707,-119.028702,2818.0
NC,MMS,EHZ,37.630375,-119.031746,3324.0
NC,MMT,EHZ,37.376038,-119.179619,2714.0
NC,MMX1,EP1,37.617115,-118.959755,2305.0
NC,MNHB,EHZ,38.145866,-120.813614,206.0
BK,MNRC,HHZ,38.878738,-122.442772,709.9
BG,MNS,DPZ,38.79221,-122.716461,789.0
NP,MOD,HHZ,37.620201,-121.122284,16.0
NC,MRD,EHZ,37.598011,-119.058083,2672.0
NC,MRH,EHZ,36.286282,-119.087105,432.0
NC,MTU,EHZ,37.352882,-118.563263,1792.0
NC,MYL,EHZ,37.383492,-120.420525,57.0
NC,N001,HNZ,37.960415,-122.494141,2.0
NC,N004,HNZ,38.449047,-122.661362,102.0
NC,N006,HNZ,38.406288,-122.709152,11.0
NC,N008,HNZ,38.428444,-122.682053,166.0
NC,N009,HNZ,38.351433,-122.631638,245.0
NC,N013,HNZ,38.299305,-122.550179,411.0
NC,N015,HNZ,38.447731,-122.720093,48.0
NC,N016,HNZ,38.298752,-122.284843,4.0
NC,N017,HNZ,38.05299,-122.658661,208.0
NC,N020,HNZ,38.296391,-122.2948,13.0
NC,NBO,EHZ,37.92144,-122.718056,91.0
NC,NBP,EHZ,38.668148,-122.194672,836.0
NC,NBRB,EHZ,38.260208,-122.551788,94.0
NC,NCC,EHZ,38.001984,-122.47467,104.0
NC,NCP,EHZ,38.785675,-122.123947,505.0
NC,NDH,EHZ,38.765438,-121.912949,42.0
NC,NEA,EHZ,38.309883,-122.943001,31.0
BG,NEG,DPZ,38.830471,-122.769913,922.0
NC,NEH,EHZ,38.336559,-122.810822,84.0
NC,NFR,EHZ,38.52248,-123.162186,484.0
NC,NFV,EHZ,38.46769,-122.896507,44.0
NC,NGVB,HNZ,38.28043,-122.21582,234.0
NC,NHC,EHZ,38.21748,-122.357674,3.0
NC,NHF,EHZ,38.049622,-122.523315,39.0
NC,NHS,EHZ,38.656517,-122.614418,1213.0
NC,NHV,EHZ,38.164879,-122.712959,144.0
NC,NLH,EHZ,38.122814,-122.149216,180.0
NC,NMI,EHZ,38.076012,-122.258499,40.0
NC,NMT,EHZ,38.805771,-122.447693,412.0
NC,NMW,EHZ,38.550346,-122.723236,119.0
NC,NOLB,EHZ,38.04248,-122.796837,-7.0
NC,NPRB,EHZ,37.996422,-123.019493,124.0
NC,NPV,EHZ,38.64275,-122.427116,187.0
NC,NSH,EHZ,38.519852,-122.608231,307.0
NC,NSM,EHZ,38.348785,-122.57795,711.0
NC,NTAC,EHZ,37.923717,-122.596481,783.0
NC,NTR,EHZ,38.240391,-122.798424,106.0
TA,O02D,HHZ,40.1766,-122.7884,965.0
NC,OCR,EHZ,39.867935,-121.751839,538.0
NC,OGO,EHZ,39.653793,-121.613235,155.0
NC,OHC,EHZ,39.335896,-121.485306,55.0
BK,OHLN,EP2,38.006248,-122.272987,-197.2
NN,ORC,EHZ,37.635399,-118.656998,2320.0
BK,ORV,HHZ,39.554508,-121.500359,334.7
WR,ORV,EHZ,39.553833,-121.500336,362.0
NC,OSU,EHZ,39.270485,-121.853065,34.0
NC,OWY,EHZ,39.453388,-121.487549,143.0
BK,OXMT,EP1,37.499359,-122.424309,14.8
NC,PABB,EHZ,35.15892,-120.639915,170.0
NC,PAGB,HHZ,35.730652,-120.249863,480.0
WR,PAM,EHZ,39.449001,-121.520958,125.0
NC,PAN,EHZ,35.780056,-120.907135,426.0
NC,PAP,EHZ,35.895855,-121.366852,1044.0
NC,PAR,EHZ,36.249279,-120.342773,452.0
PG,PB,EHZ,35.709,-121.2715,183.0
PG,PBD,EHZ,35.709,-121.2715,183.0
NC,PBIB,EHZ,35.1614,-120.475166,522.0
NC,PBM,EHZ,35.394451,-120.353897,1049.0
NC,PBP,EHZ,35.579121,-120.077484,569.0
NC,PBS,EHZ,35.745735,-120.149017,811.0
NC,PCA,EHZ,35.931488,-120.338257,1163.0
NC,PCB,EHZ,35.518372,-121.060661,164.0
