event_id, station, network, location, channel, sp_ratio, takeoff, takeoff_uncertainty, azimuth, azimuth_uncertainty
123456,   ST000,   XX,      --,       EHZ,     13.2,     53.5,   0.0,                  75.0,   0.0
123456,   ST001,   XX,      --,       EHZ,      8.7,     53.5,   0.0,                  69.7,   0.0
123456,   ST002,   XX,      --,       EHZ,      6.3,     53.5,   0.0,                  64.4,   0.0
123456,   ST003,   XX,      --,       EHZ,      4.7,     53.5,   0.0,                  59.1,   0.0
123456,   ST004,   XX,      --,       EHZ,      3.7,     53.5,   0.0,                  53.9,   0.0
123456,   ST005,   XX,      --,       EHZ,      3.1,     53.5,   0.0,                  48.6,   0.0
123456,   ST006,   XX,      --,       EHZ,      2.9,     53.5,   0.0,                  43.3,   0.0
123456,   ST007,   XX,      --,       EHZ,      3.1,     53.5,   0.0,                  38.0,   0.0
123456,   ST008,   XX,      --,       EHZ,      3.6,     53.5,   0.0,                  32.7,   0.0
123456,   ST009,   XX,      --,       EHZ,      4.6,     53.5,   0.0,                  27.4,   0.0
123456,   ST010,   XX,      --,       EHZ,      6.1,     53.5,   0.0,                  22.1,   0.0
123456,   ST011,   XX,      --,       EHZ,      8.5,     53.5,   0.0,                  16.9,   0.0
123456,   ST012,   XX,      --,       EHZ,     12.9,     53.5,   0.0,                  11.6,   0.0
123456,   ST013,   XX,      --,       EHZ,     24.3,     53.5,   0.0,                   6.3,   0.0
123456,   ST014,   XX,      --,       EHZ,     154.8,     53.5,   0.0,                   1.0,   0.0
123456,   ST015,   XX,      --,       EHZ,     154.8,     53.5,   0.0,                  -1.0,   0.0
123456,   ST016,   XX,      --,       EHZ,     24.3,     53.5,   0.0,                  -6.3,   0.0
123456,   ST017,   XX,      --,       EHZ,     12.9,     53.5,   0.0,                 -11.6,   0.0
123456,   ST018,   XX,      --,       EHZ,      8.5,     53.5,   0.0,                 -16.9,   0.0
123456,   ST019,   XX,      --,       EHZ,      6.1,     53.5,   0.0,                 -22.1,   0.0
123456,   ST020,   XX,      --,       EHZ,      4.6,     53.5,   0.0,                 -27.4,   0.0
123456,   ST021,   XX,      --,       EHZ,      3.6,     53.5,   0.0,                 -32.7,   0.0
123456,   ST022,   XX,      --,       EHZ,      3.1,     53.5,   0.0,                 -38.0,   0.0
123456,   ST023,   XX,      --,       EHZ,      2.9,     53.5,   0.0,                 -43.3,   0.0
123456,   ST024,   XX,      --,       EHZ,      3.1,     53.5,   0.0,                 -48.6,   0.0
123456,   ST025,   XX,      --,       EHZ,      3.7,     53.5,   0.0,                 -53.9,   0.0
123456,   ST026,   XX,      --,       EHZ,      4.7,     53.5,   0.0,                 -59.1,   0.0
123456,   ST027,   XX,      --,       EHZ,      6.3,     53.5,   0.0,                 -64.4,   0.0
123456,   ST028,   XX,      --,       EHZ,      8.7,     53.5,   0.0,                 -69.7,   0.0
123456,   ST029,   XX,      --,       EHZ,     13.2,     53.5,   0.0,                 -75.0,   0.0
123456,   ST030,   XX,      --,       EHZ,      2.3,     82.9,   0.0,                 237.7,   0.0
123456,   ST031,   XX,      --,       EHZ,      1.8,     77.3,   0.0,                 235.5,   0.0
123456,   ST032,   XX,      --,       EHZ,      1.4,     72.0,   0.0,                 233.0,   0.0
123456,   ST033,   XX,      --,       EHZ,      1.1,     67.1,   0.0,                 230.2,   0.0
123456,   ST034,   XX,      --,       EHZ,     159.5,     41.4,   0.0,                 181.1,   0.0
123456,   ST035,   XX,      --,       EHZ,     20.2,     41.9,   0.0,                 188.5,   0.0
123456,   ST036,   XX,      --,       EHZ,     18.5,     48.1,   0.0,                 188.6,   0.0
123456,   ST037,   XX,      --,       EHZ,     14.0,     54.1,   0.0,                 190.6,   0.0
123456,   ST038,   XX,      --,       EHZ,     10.1,     59.6,   0.0,                 193.8,   0.0
123456,   ST039,   XX,      --,       EHZ,      7.2,     64.1,   0.0,                 197.9,   0.0
123456,   ST040,   XX,      --,       EHZ,      5.2,     67.3,   0.0,                 202.5,   0.0
123456,   ST041,   XX,      --,       EHZ,      3.6,     69.3,   0.0,                 207.4,   0.0
123456,   ST042,   XX,      --,       EHZ,      2.5,     69.6,   0.0,                 212.4,   0.0
123456,   ST043,   XX,      --,       EHZ,      1.6,     68.5,   0.0,                 217.3,   0.0
123456,   ST044,   XX,      --,       EHZ,      1.1,     65.7,   0.0,                 222.1,   0.0
123456,   ST045,   XX,      --,       EHZ,      1.1,     61.7,   0.0,                 226.4,   0.0
123456,   ST046,   XX,      --,       EHZ,      1.6,     56.6,   0.0,                 230.1,   0.0
123456,   ST047,   XX,      --,       EHZ,      2.3,     50.8,   0.0,                 232.7,   0.0
123456,   ST048,   XX,      --,       EHZ,      2.9,     44.6,   0.0,                 233.7,   0.0
123456,   ST049,   XX,      --,       EHZ,      3.5,     38.6,   0.0,                 232.3,   0.0
123456,   ST050,   XX,      --,       EHZ,      4.2,     33.5,   0.0,                 227.5,   0.0
123456,   ST051,   XX,      --,       EHZ,      5.4,     30.1,   0.0,                 218.9,   0.0
123456,   ST052,   XX,      --,       EHZ,      7.6,     29.4,   0.0,                 207.8,   0.0
123456,   ST053,   XX,      --,       EHZ,     11.4,     31.7,   0.0,                 197.8,   0.0
123456,   ST054,   XX,      --,       EHZ,     16.5,     36.2,   0.0,                 191.3,   0.0
123456,   ST055,   XX,      --,       EHZ,      3.9,     48.7,   0.0,                 211.0,   0.0
123456,   ST056,   XX,      --,       EHZ,     13.1,     48.4,   0.0,                 -73.5,   0.0
123456,   ST057,   XX,      --,       EHZ,     12.9,     43.3,   0.0,                 -71.6,   0.0
123456,   ST058,   XX,      --,       EHZ,     12.8,     38.4,   0.0,                 -69.2,   0.0
123456,   ST059,   XX,      --,       EHZ,     12.7,     33.6,   0.0,                 -66.2,   0.0
123456,   ST060,   XX,      --,       EHZ,     12.7,     29.0,   0.0,                 -62.2,   0.0
123456,   ST061,   XX,      --,       EHZ,     13.0,     24.7,   0.0,                 -56.9,   0.0
123456,   ST062,   XX,      --,       EHZ,     13.6,     20.6,   0.0,                 -49.3,   0.0
